period,state,price,sales
2023-11-01,Michigan,18.44,2532.01
2023-11-01,Massachusetts,28.31,1401.9
2023-11-01,South Atlantic,14.62,26622.45
2023-11-01,West North Central,12.72,7697.18
2023-11-01,East North Central,16.2,13450.01
2023-11-01,Middle Atlantic,19.81,9633.83
2023-11-01,New England,27.55,3521.48
2023-11-01,Wyoming,11.56,237.8
2023-11-01,Wisconsin,16.75,1687.54
2023-11-01,West Virginia,14.44,851.36
2023-11-01,Connecticut,26.95,974.17
2023-11-01,Colorado,14.61,1413.49
2023-11-01,California,29.41,6224.36
2023-11-01,Arkansas,12.11,1210.24
2023-11-01,Arizona,14.53,2105.81
2023-11-01,Alaska,24.08,180.01
2023-11-01,Alabama,14.89,2169.83
2023-11-01,Maryland,17.38,2033.89
2023-11-01,Maine,28.51,391.87
2023-11-01,Louisiana,11.37,2013.56
2023-11-01,Kentucky,13.13,1817.96
2023-11-01,Kansas,13.26,909.37
2023-11-01,Iowa,12.81,1034.9
2023-11-01,Indiana,14.64,2389.56
2023-11-01,Illinois,15.79,3139.43
2023-11-01,Idaho,11.55,813.31
2023-11-01,Hawaii,43.53,232.65
2023-11-01,Georgia,13.18,4142.59
2023-11-01,Florida,15.38,9061.47
2023-11-01,District of Columbia,16.93,162.47
2023-11-01,Delaware,17.23,309.32
2023-11-01,U.S. Total,16.19,102427.52
2023-11-01,Pacific Noncontiguous,35.04,412.67
2023-11-01,Pacific Contiguous,21.52,11238.17
2023-11-01,Mountain,13.89,7135.39
2023-11-01,West South Central,13.69,14732.16
2023-10-01,Pacific Contiguous,20.83,10065.31
2023-10-01,Oklahoma,13.27,1603.85
2023-10-01,Colorado,14.54,1449.19
2023-10-01,California,26.73,6037.12
2023-10-01,Arkansas,12.71,1306.1
2023-10-01,Arizona,14.52,2979.16
2023-10-01,Alaska,23.98,160.72
2023-10-01,Alabama,15.02,2153.52
2023-10-01,Oregon,13.24,1382.74
2023-10-01,Florida,15.48,11089.95
2023-10-01,District of Columbia,17.93,159.78
2023-10-01,Delaware,17.45,324.53
2023-10-01,Connecticut,28.98,835.89
2023-10-01,Mountain,13.9,7754.98
2023-10-01,West South Central,14.05,18453.74
2023-10-01,East South Central,13.5,8179.63
2023-10-01,South Atlantic,15.11,26791.31
2023-10-01,West North Central,13.29,7140.83
2023-10-01,East North Central,16.55,12654.97
2023-10-01,Middle Atlantic,19.71,9069.14
2023-10-01,New England,28.16,3257.52
2023-10-01,Wyoming,12.47,197.34
2023-10-01,Wisconsin,17.05,1591.78
2023-10-01,West Virginia,15.07,658.12
2023-10-01,Ohio,16.03,3503.24
2023-10-01,North Dakota,11.66,340.21
2023-10-01,North Carolina,14.75,3872.73
2023-10-01,New York,22.06,3656.21
2023-10-01,New Mexico,14.5,511.32
2023-10-01,New Jersey,17.5,1878.71
2023-10-01,New Hampshire,25.77,317.52
2023-10-01,Washington,11.34,2645.45
2023-10-01,Virginia,14.27,2836.65
2023-10-01,Vermont,22.11,158.59
2023-10-01,Utah,11.22,746.83
2023-10-01,Texas,14.69,13069.21
2023-10-01,Tennessee,12.57,2911.62
2023-10-01,South Dakota,12.99,342.63
2023-10-01,South Carolina,14.47,2096.51
